"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","PID","REACTOME","VALIDATION","DIANA","MIRANDA","MIRBRIDGE","PICTAR","PITA","RNA22","TARGETSCAN","TOTAL_HIT"
"ATXN1","ataxin 1","0","0","0","0","V","V","V","V","V","V","V","V","8"
"CSF1","colony stimulating factor 1 (macrophage)","2","3","3","0","V","V","V","V","V","V","","V","7"
"HOXA5","homeobox A5","0","0","0","0","V","V","V","","V","V","V","V","7"
"MEOX2","mesenchyme homeobox 2","0","0","0","0","V","V","V","","V","V","V","V","7"
"DCBLD2","discoidin, CUB and LCCL domain containing 2","0","0","0","0","","V","V","V","V","V","V","V","7"
"ERBB2IP","erbb2 interacting protein","1","0","0","0","","V","V","V","V","V","V","V","7"
"LRP8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","0","0","2","3","","V","V","V","V","V","V","V","7"
"MAP3K9","mitogen-activated protein kinase kinase kinase 9","1","2","0","0","","V","V","V","V","V","V","V","7"
"MIER1","mesoderm induction early response 1, transcriptional regulator","0","0","0","0","","V","V","V","V","V","V","V","7"
"PPARGC1A","peroxisome proliferator-activated receptor gamma, coactivator 1 alpha","3","3","4","4","","V","V","V","V","V","V","V","7"
"RALBP1","ralA binding protein 1","2","2","2","3","","V","V","V","V","V","V","V","7"
"SKP1","S-phase kinase-associated protein 1","7","2","3","27","","V","V","V","V","V","V","V","7"
"SMARCD2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2","0","0","0","0","","V","V","V","V","V","V","V","7"
"SOX4","SRY (sex determining region Y)-box 4","0","0","0","0","","V","V","V","V","V","V","V","7"
"ST18","suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)","0","0","0","0","","V","V","V","V","V","V","V","7"
"TARDBP","TAR DNA binding protein","0","0","0","0","","V","V","V","V","V","V","V","7"
"TMEM9B","TMEM9 domain family, member B","0","0","0","0","","V","V","V","V","V","V","V","7"
"USP33","ubiquitin specific peptidase 33","0","0","0","0","","V","V","V","V","V","V","V","7"
