ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-132-3p,MIMAT0000426,ADH1A,124,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ALK,238,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,AMD1,262,PAR-CLIP,23446348|27292025,Unspecified
hsa-mir-132-3p,MIMAT0000426,ANXA2,302,CLASH,23622248,Unspecified
hsa-mir-132-3p,MIMAT0000426,APBA1,320,HITS-CLIP,19536157,Unspecified
hsa-mir-132-3p,MIMAT0000426,TRIM23,373,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ARF6,382,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ARR3,407,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ART4,420,PAR-CLIP,22012620,Unspecified
hsa-mir-132-3p,MIMAT0000426,TNFRSF17,608,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,BDNF,627,qRT-PCR//Western blotting,23704927,Unspecified
hsa-mir-132-3p,MIMAT0000426,BNIP2,663,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CA1,759,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CALU,813,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CASP7,840,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CCNA2,890,qRT-PCR//Western blot,21329664,Unspecified
hsa-mir-132-3p,MIMAT0000426,CCNB1,891,qRT-PCR//Western blot,21329664,Unspecified
hsa-mir-132-3p,MIMAT0000426,CDH3,1001,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CDKN1A,1026,Luciferase reporter assay//PAR-CLIP//qRT-PCR//Western blot,20190813|26701625|27292025,Unspecified
hsa-mir-132-3p,MIMAT0000426,CFTR,1080,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CHRNA5,1138,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CR2,1380,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CRK,1398,Luciferase reporter assay//Microarray,23184980|17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CSTF3,1479,CLASH,23622248,Unspecified
hsa-mir-132-3p,MIMAT0000426,CYP2E1,1571,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CYP26A1,1592,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,CD55,1604,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,HBEGF,1839,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,21853268|22310291|17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ECT2,1894,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,EGFR,1956,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,26452132,Unspecified
hsa-mir-132-3p,MIMAT0000426,EIF2S3,1968,PAR-CLIP,20371350,Unspecified
hsa-mir-132-3p,MIMAT0000426,EPHA4,2043,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,EYA4,2070,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,FABP7,2173,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ACSL4,2182,HITS-CLIP//PAR-CLIP,21572407,Unspecified
hsa-mir-132-3p,MIMAT0000426,FGF2,2247,qRT-PCR,25864118,Unspecified
hsa-mir-132-3p,MIMAT0000426,FOXO1,2308,CLASH//Luciferase reporter assay//qRT-PCR//Western blot,23622248|26298723|27556448,Unspecified
hsa-mir-132-3p,MIMAT0000426,FUT1,2523,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,GATA3,2625,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,NIPSNAP2,2631,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,GCNT1,2650,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,GK,2710,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,GNB1,2782,PAR-CLIP,21572407,Unspecified
hsa-mir-132-3p,MIMAT0000426,GTF2H1,2965,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,HOXC4,3221,PAR-CLIP,23592263,Unspecified
hsa-mir-132-3p,MIMAT0000426,HSPA1B,3304,PAR-CLIP,21572407,Unspecified
hsa-mir-132-3p,MIMAT0000426,IMPA1,3612,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,IRAK1,3654,CLASH,23622248,Unspecified
hsa-mir-132-3p,MIMAT0000426,KCNJ9,3765,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,KIR3DL1,3811,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,KIR3DL2,3812,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,KPNA1,3836,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-132-3p,MIMAT0000426,RPSA,3921,CLASH,23622248,Unspecified
hsa-mir-132-3p,MIMAT0000426,STMN1,3925,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,LDLR,3949,PAR-CLIP,21572407,Unspecified
hsa-mir-132-3p,MIMAT0000426,LFNG,3955,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,LIFR,3977,PAR-CLIP,21572407,Unspecified
hsa-mir-132-3p,MIMAT0000426,LIG4,3981,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,LOXL1,4016,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,SMAD2,4087,GFP reporter assay//qRT-PCR//Western blot,25988335,Unspecified
hsa-mir-132-3p,MIMAT0000426,MAP1B,4131,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,MEF2A,4205,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,MAP3K3,4215,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,MMP9,4318,Luciferase reporter assay,26319558,Unspecified
hsa-mir-132-3p,MIMAT0000426,MMP13,4322,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,NAP1L1,4673,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,NBN,4683,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,NDUFB10,4716,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,OAS2,4939,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,PFAS,5198,PAR-CLIP,23592263,Unspecified
hsa-mir-132-3p,MIMAT0000426,PLAGL2,5326,PAR-CLIP,23592263|26701625,Unspecified
hsa-mir-132-3p,MIMAT0000426,PLSCR1,5359,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,MAPK1,5594,Luciferase reporter assay//Microarray//QRTPCR//Western blot,25538559,Unspecified
hsa-mir-132-3p,MIMAT0000426,PSMA2,5683,Microarray//PAR-CLIP,17612493|23446348|20371350,Unspecified
hsa-mir-132-3p,MIMAT0000426,PSMD12,5718,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,PTGS2,5743,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,RAB5B,5869,PAR-CLIP,21572407|26701625,Unspecified
hsa-mir-132-3p,MIMAT0000426,RAF1,5894,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,26452132,Unspecified
hsa-mir-132-3p,MIMAT0000426,RASA1,5921,Immunoblot//Western blot,21868695,Unspecified
hsa-mir-132-3p,MIMAT0000426,RB1,5925,Luciferase reporter assay//qRT-PCR//Reporter assay//Western blot,21329664,Unspecified
hsa-mir-132-3p,MIMAT0000426,RPL7,6129,CLASH,23622248,Unspecified
hsa-mir-132-3p,MIMAT0000426,RPS5,6193,CLASH,23622248,Unspecified
hsa-mir-132-3p,MIMAT0000426,S100A1,6271,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,SDF2,6388,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,SH3BGRL,6451,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,SLC2A1,6513,Luciferase reporter assay//qRT-PCR//Western blot,27398313,Unspecified
hsa-mir-132-3p,MIMAT0000426,SMN1,6606,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,SOX4,6659,Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot,26377202,Unspecified
hsa-mir-132-3p,MIMAT0000426,SOX5,6660,Luciferase reporter assay//Western blot,25305446,Unspecified
hsa-mir-132-3p,MIMAT0000426,SPAST,6683,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,SSR3,6747,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,STAU1,6780,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ELOC,6921,PAR-CLIP,24398324|26701625|27292025,Unspecified
hsa-mir-132-3p,MIMAT0000426,TFPI,7035,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,THBS1,7057,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,TSPAN6,7105,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,VDAC2,7417,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ZNF711,7552,PAR-CLIP,20371350,Unspecified
hsa-mir-132-3p,MIMAT0000426,ZNF148,7707,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,ZNF236,7776,Microarray,17612493,Unspecified
hsa-mir-132-3p,MIMAT0000426,MLLT10,8028,Microarray,17612493,Unspecified
