ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-138-5p,MIMAT0000430,AKT1,207,Immunohistochemistry//Luciferase reporter assay//Western blot,28122142,Unspecified
hsa-mir-138-5p,MIMAT0000430,RHOC,389,Luciferase reporter assay//PAR-CLIP//qRT-PCR//Reporter assay//Western blot,20232393|21770894|23007504|21572407|26701625|27292025,Unspecified
hsa-mir-138-5p,MIMAT0000430,BAG1,573,Luciferase reporter assay//qRT-PCR//Western blot,25962180,Unspecified
hsa-mir-138-5p,MIMAT0000430,CCND1,595,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,22739938|28275859,Unspecified
hsa-mir-138-5p,MIMAT0000430,CASP3,836,Luciferase reporter assay,22921398,Unspecified
hsa-mir-138-5p,MIMAT0000430,CCND3,896,Immunoblot//Luciferase reporter assay//qRT-PCR//Western blot,22362728|23208504|25439221|26823826,Unspecified
hsa-mir-138-5p,MIMAT0000430,CDH1,999,Western blot,21770894,Unspecified
hsa-mir-138-5p,MIMAT0000430,CDH2,1000,qRT-PCR,21770894,Unspecified
hsa-mir-138-5p,MIMAT0000430,CEBPA,1050,qRT-PCR,20486779,Unspecified
hsa-mir-138-5p,MIMAT0000430,CSRP2,1466,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-138-5p,MIMAT0000430,EIF4EBP1,1978,Luciferase reporter assay//qRT-PCR,26891291|28075468,Unspecified
hsa-mir-138-5p,MIMAT0000430,EZH2,2146,//ELISA//Immunoblot//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Reporter assay//Western blot,23343715|21770894|23707559|25339353|27019355|27266699,Unspecified
hsa-mir-138-5p,MIMAT0000430,FABP4,2167,qRT-PCR,20486779,Unspecified
hsa-mir-138-5p,MIMAT0000430,FOXC1,2296,Luciferase reporter assay//qRT-PCR//Western blot,27799147,Unspecified
hsa-mir-138-5p,MIMAT0000430,GNAI2,2771,Microarray//qRT-PCR//Western blot,21079996,Unspecified
hsa-mir-138-5p,MIMAT0000430,GRID1,2894,HITS-CLIP,23824327|27418678,Unspecified
hsa-mir-138-5p,MIMAT0000430,NR3C1,2908,HITS-CLIP,23313552,Unspecified
hsa-mir-138-5p,MIMAT0000430,H2AFX,3014,Luciferase reporter assay//PAR-CLIP//Western blot,21693595|23446348|20371350,Unspecified
hsa-mir-138-5p,MIMAT0000430,HIF1A,3091,Luciferase reporter assay,21875287|23389731,Unspecified
hsa-mir-138-5p,MIMAT0000430,HMGA1,3159,PAR-CLIP,22012620,Unspecified
hsa-mir-138-5p,MIMAT0000430,IGF1R,3480,Luciferase reporter assay,20819078,Unspecified
hsa-mir-138-5p,MIMAT0000430,IL10RA,3587,PAR-CLIP,23592263,Unspecified
