ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-133a-3p,MIMAT0000427,ALDOC,230,HITS-CLIP,23824327,Unspecified
hsa-mir-133a-3p,MIMAT0000427,ANXA2,302,In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,24715690,Unspecified
hsa-mir-133a-3p,MIMAT0000427,BCL2L1,598,ChIP-seq//Luciferase reporter assay//qRT-PCR//Western blot,23756231|26276722,Unspecified
hsa-mir-133a-3p,MIMAT0000427,BCL3,602,PAR-CLIP,23592263,Unspecified
hsa-mir-133a-3p,MIMAT0000427,HCN2,610,Luciferase reporter assay//qRT-PCR//Western blot,19136465|18458081,Unspecified
hsa-mir-133a-3p,MIMAT0000427,CACNA1C,775,Luciferase reporter assay//Western blot,19136465,Unspecified
hsa-mir-133a-3p,MIMAT0000427,CASP9,842,Luciferase reporter assay//qRT-PCR,17715156|27425441,Unspecified
hsa-mir-133a-3p,MIMAT0000427,SERPINH1,871,HITS-CLIP,23313552,Unspecified
hsa-mir-133a-3p,MIMAT0000427,CDC42,998,Luciferase reporter assay//qRT-PCR//Western blot,25152372,Unspecified
hsa-mir-133a-3p,MIMAT0000427,CDKN1A,1026,PAR-CLIP,23592263|22012620|26701625,Unspecified
hsa-mir-133a-3p,MIMAT0000427,CNN2,1265,Microarray//PAR-CLIP,21396852|23592263,Unspecified
hsa-mir-133a-3p,MIMAT0000427,COL1A1,1277,Reporter assay,21769867,Unspecified
hsa-mir-133a-3p,MIMAT0000427,HAPLN1,1404,HITS-CLIP,27418678,Unspecified
hsa-mir-133a-3p,MIMAT0000427,CTGF,1490,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,25451078,Unspecified
hsa-mir-133a-3p,MIMAT0000427,EGFR,1956,Flow//Luciferase reporter assay//qRT-PCR//Western blot,23069713|22407299|24816813|23786162|26134491,Unspecified
hsa-mir-133a-3p,MIMAT0000427,ERBB2,2064,Luciferase reporter assay//qRT-PCR//Western blot,28109082,Unspecified
hsa-mir-133a-3p,MIMAT0000427,FBN1,2200,Microarray,21396852,Unspecified
hsa-mir-133a-3p,MIMAT0000427,FOSL2,2355,HITS-CLIP,23824327,Unspecified
hsa-mir-133a-3p,MIMAT0000427,FTL,2512,Immunocytochemistry//Microarray//Western blot,21396852|23969999,Unspecified
hsa-mir-133a-3p,MIMAT0000427,GSTP1,2950,Microarray//Reporter assay,21396852,Unspecified
hsa-mir-133a-3p,MIMAT0000427,IGF1,3479,Luciferase reporter assay,26845446,Unspecified
hsa-mir-133a-3p,MIMAT0000427,IGF1R,3480,Luciferase reporter assay//qRT-PCR//Western blot,25780292|24127040,Unspecified
hsa-mir-133a-3p,MIMAT0000427,RBPJ,3516,Luciferase reporter assay//Western blot,27904763,Unspecified
hsa-mir-133a-3p,MIMAT0000427,ITPKB,3707,HITS-CLIP,23824327,Unspecified
hsa-mir-133a-3p,MIMAT0000427,KCNH2,3757,Luciferase reporter assay//PAR-CLIP//qRT-PCR//Western blot,17344217|26701625,Unspecified
hsa-mir-133a-3p,MIMAT0000427,KCNQ1,3784,5\'RACE//Luciferase reporter assay//Real time RT-PCR//Western blot,17443681,Unspecified
hsa-mir-133a-3p,MIMAT0000427,KRT7,3855,Immunoblot//qRT-PCR,19378336,Unspecified
hsa-mir-133a-3p,MIMAT0000427,LASP1,3927,Luciferase reporter assay//qRT-PCR//Reporter assay//Western blot,20843712|23968734,Unspecified
hsa-mir-133a-3p,MIMAT0000427,MC2R,4158,PAR-CLIP,23446348,Unspecified
hsa-mir-133a-3p,MIMAT0000427,MCL1,4170,ChIP-seq//Luciferase reporter assay//qRT-PCR//Western blot,23756231|26276722,Unspecified
hsa-mir-133a-3p,MIMAT0000427,MMP14,4323,Luciferase reporter assay//qRT-PCR//Western blot,23783274,Unspecified
hsa-mir-133a-3p,MIMAT0000427,MSN,4478,qRT-PCR//Western blot,22266319,Unspecified
hsa-mir-133a-3p,MIMAT0000427,NGFR,4804,Luciferase reporter assay,27933650,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PNP,4860,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,22068816|21701775,Unspecified
hsa-mir-133a-3p,MIMAT0000427,NR4A2,4929,CLASH,23622248,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PDE1A,5136,HITS-CLIP,23824327,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PIGR,5284,HITS-CLIP,19536157,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PIK3R2,5296,Reporter assay,21249429,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PKM,5315,Immunohistochemistry,18464261,Unspecified
hsa-mir-133a-3p,MIMAT0000427,POU2F2,5452,HITS-CLIP,27418678,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PSMC4,5704,HITS-CLIP,23313552,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PTMA,5757,PAR-CLIP,20371350,Unspecified
hsa-mir-133a-3p,MIMAT0000427,RAB5C,5878,PAR-CLIP,27292025,Unspecified
hsa-mir-133a-3p,MIMAT0000427,RGS3,5998,Reporter assay,21249429,Unspecified
hsa-mir-133a-3p,MIMAT0000427,SFTPB,6439,HITS-CLIP,19536157,Unspecified
hsa-mir-133a-3p,MIMAT0000427,FSCN1,6624,Luciferase reporter assay//Microarray//qRT-PCR//Reporter assay//Western blot,20160723|22292984|21351259|26173501|25621061,Unspecified
hsa-mir-133a-3p,MIMAT0000427,SOX4,6659,Luciferase reporter assay,26396670,Unspecified
hsa-mir-133a-3p,MIMAT0000427,SP1,6667,Immunofluorescence//Luciferase reporter assay//Western blot,22911796|24613927,Unspecified
hsa-mir-133a-3p,MIMAT0000427,ZEB1,6935,Luciferase reporter assay,26902265,Unspecified
hsa-mir-133a-3p,MIMAT0000427,THBS2,7058,PAR-CLIP,22012620,Unspecified
hsa-mir-133a-3p,MIMAT0000427,TPM1,7168,Microarray,21396852,Unspecified
hsa-mir-133a-3p,MIMAT0000427,TPM3,7170,PAR-CLIP,26701625,Unspecified
hsa-mir-133a-3p,MIMAT0000427,NR2C2,7182,Luciferase reporter assay,27109382,Unspecified
hsa-mir-133a-3p,MIMAT0000427,UCP2,7351,Western blot,23988448,Unspecified
hsa-mir-133a-3p,MIMAT0000427,UGT2B10,7365,PAR-CLIP,21572407,Unspecified
hsa-mir-133a-3p,MIMAT0000427,VEGFA,7422,Reporter assay,21249429,Unspecified
hsa-mir-133a-3p,MIMAT0000427,HIST2H2AC,8338,PAR-CLIP,23446348,Unspecified
hsa-mir-133a-3p,MIMAT0000427,TAGLN2,8407,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Reporter assay//Western blot,21304530|21745735|21396852|21701775,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PSMG1,8624,PAR-CLIP,21572407,Unspecified
hsa-mir-133a-3p,MIMAT0000427,CDK5R1,8851,PAR-CLIP,21572407,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PER2,8864,HITS-CLIP,23313552,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PIAS2,9063,HITS-CLIP,27418678,Unspecified
hsa-mir-133a-3p,MIMAT0000427,TMEM59,9528,HITS-CLIP,23824327,Unspecified
hsa-mir-133a-3p,MIMAT0000427,MLEC,9761,HITS-CLIP,23313552,Unspecified
hsa-mir-133a-3p,MIMAT0000427,IP6K1,9807,HITS-CLIP,23824327,Unspecified
hsa-mir-133a-3p,MIMAT0000427,HCN4,10021,Luciferase reporter assay,18458081,Unspecified
hsa-mir-133a-3p,MIMAT0000427,UBA2,10054,In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,24715690,Unspecified
hsa-mir-133a-3p,MIMAT0000427,ARPC5,10092,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,21396852|22378351,Unspecified
hsa-mir-133a-3p,MIMAT0000427,PDLIM5,10611,Luciferase reporter assay//qRT-PCR//Western blot,23968734,Unspecified
hsa-mir-133a-3p,MIMAT0000427,SEC61B,10952,Microarray,21396852,Unspecified
